排名,大学名称
494,湖州学院
495,山东青年政治学院
496,六盘水师范学院
497,梧州学院
498,呼伦贝尔学院
499,河北民族师范学院
500,兰州城市学院
501,凯里学院
502,兰州工业学院
503,郑州工程技术学院
504,福建技术师范学院
505,阿坝师范学院
506,贵阳康养职业大学
507,安顺学院
508,大庆师范学院
509,萍乡学院
510,南京特殊教育师范学院
511,郑州师范学院
512,长沙师范学院
513,赣南科技学院
514,桂林航天工业学院
515,晋中学院
516,菏泽学院
517,邯郸学院
518,河北环境工程学院
519,楚雄师范学院
520,白城师范学院
521,华北科技学院
522,池州学院
523,太原工业学院
524,济宁学院
525,保定学院
526,景德镇学院
527,忻州师范学院
528,蚌埠学院
529,广州航海学院
530,集宁师范学院
531,山西大同大学
532,兴义民族师范学院
533,四川文理学院
534,鄂尔多斯应用技术学院
535,广西民族师范学院
536,天津中德应用技术大学
537,山西电子科技学院
538,百色学院
539,绥化学院
540,河南工学院
541,苏州城市学院
542,新余学院
543,亳州学院
544,吉林工程技术师范学院
545,河套学院
546,黑河学院
547,吕梁学院
548,荆楚理工学院
549,贵州工程应用技术学院
550,山西能源学院
551,南京工业职业技术大学
552,石家庄学院
553,兰州文理学院
554,新疆工程学院
555,广西科技师范学院
556,张家口学院
557,衡水学院
558,黔南民族师范学院
559,四川民族学院
560,保山学院
561,赣东学院
562,山西工程技术学院
563,河池学院
564,普洱学院
565,韶关学院
566,嘉应学院
567,河北水利电力学院
568,豫章师范学院
569,西安航空学院
570,汉江师范学院
571,新乡学院
572,滇西科技师范学院
573,黑龙江工业学院
574,新疆理工学院
575,昌吉学院
576,太原学院
577,甘肃民族师范学院
578,山东石油化工学院
579,唐山学院
580,河北工业职业技术大学
581,邢台学院
582,昭通学院
583,沧州师范学院
584,广西职业师范学院
585,廊坊师范学院
586,文山学院
587,山西工程科技职业大学
588,沈阳工程学院
589,滇西应用技术大学
590,河北科技工程职业技术大学
591,河北石油职业技术大学
592,新疆政法学院
593,广西农业职业技术大学
594,山西科技学院
